epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2613.66,0.6976,0.50233,1.01477,0.98238,0.93978,0.96985,0.87637,0.38162,0.36332,0.70364,0.000935083,0.000935083,0.000935083
43,2675.42,0.70168,0.50139,1.01607,0.97851,0.93485,0.97342,0.88331,0.37726,0.33659,0.70351,0.0009335,0.0009335,0.0009335
44,2737.57,0.68958,0.49644,1.00796,0.97739,0.93895,0.97384,0.87673,0.38704,0.36932,0.71101,0.000931917,0.000931917,0.000931917
45,2798.79,0.69242,0.49784,1.00873,0.98156,0.94576,0.97616,0.8794,0.38174,0.34061,0.7058,0.000930333,0.000930333,0.000930333
46,2860.55,0.68346,0.48485,1.00609,0.97008,0.93978,0.97014,0.87321,0.3825,0.39805,0.7068,0.00092875,0.00092875,0.00092875
47,2923.27,0.69067,0.49659,1.00701,0.97267,0.9388,0.97117,0.87339,0.38431,0.41454,0.70829,0.000927167,0.000927167,0.000927167
48,2985.78,0.67741,0.47756,1.00074,0.9744,0.93951,0.97707,0.88418,0.37799,0.64563,0.70144,0.000925583,0.000925583,0.000925583
49,3047.77,0.68576,0.48836,1.0001,0.97701,0.93287,0.96857,0.87673,0.37066,0.33861,0.70565,0.000924,0.000924,0.000924
50,3109.73,0.67312,0.47568,1.00108,0.96526,0.94867,0.97727,0.88001,0.37151,0.43611,0.69947,0.000922417,0.000922417,0.000922417
51,3171.56,0.6827,0.47951,0.99618,0.98433,0.93009,0.97318,0.8844,0.36556,0.45312,0.69423,0.000920833,0.000920833,0.000920833
52,3233.47,0.67239,0.46852,0.9958,0.97553,0.94451,0.97552,0.88004,0.36661,0.40788,0.69495,0.00091925,0.00091925,0.00091925
53,3296.08,0.68634,0.48186,1.00112,0.98174,0.93781,0.97623,0.88077,0.36776,0.33722,0.69906,0.000917667,0.000917667,0.000917667
54,3357.8,0.67402,0.46885,1.00162,0.9814,0.93781,0.974,0.88864,0.36367,0.60677,0.70091,0.000916083,0.000916083,0.000916083
55,3419.68,0.65463,0.45736,0.99174,0.97464,0.94862,0.97434,0.88547,0.36621,0.4189,0.70407,0.0009145,0.0009145,0.0009145
56,3481.49,0.66654,0.46621,0.99676,0.96864,0.94965,0.97429,0.88911,0.36273,0.46843,0.702,0.000912917,0.000912917,0.000912917
57,3542.98,0.65572,0.45822,0.98957,0.98045,0.94053,0.97456,0.88693,0.36467,0.31305,0.7043,0.000911333,0.000911333,0.000911333
58,3604.92,0.64405,0.45549,0.9824,0.97735,0.94472,0.97799,0.89275,0.34781,0.3381,0.69019,0.00090975,0.00090975,0.00090975
59,3666.71,0.64284,0.4612,0.98484,0.97756,0.94597,0.97508,0.89035,0.35293,0.45038,0.69959,0.000908167,0.000908167,0.000908167
60,3727.8,0.65114,0.45227,0.99015,0.97657,0.94625,0.97803,0.89187,0.36888,0.32341,0.6997,0.000906583,0.000906583,0.000906583
61,3789.45,0.64039,0.44394,0.97852,0.98607,0.93682,0.97751,0.88802,0.35946,0.33914,0.70093,0.000905,0.000905,0.000905
62,3850.56,0.6419,0.44969,0.98368,0.9822,0.94373,0.97613,0.88799,0.36458,0.28462,0.70161,0.000903417,0.000903417,0.000903417
63,3911.87,0.63982,0.44393,0.98279,0.9875,0.93588,0.97586,0.89093,0.36254,0.34329,0.70003,0.000901833,0.000901833,0.000901833
64,3973.76,0.64047,0.44566,0.9844,0.97944,0.93978,0.97447,0.89141,0.36028,0.33927,0.69879,0.00090025,0.00090025,0.00090025
65,4035.59,0.63309,0.43494,0.9799,0.97634,0.94373,0.97325,0.88799,0.36224,0.39538,0.69911,0.000898667,0.000898667,0.000898667
66,4097.1,0.63618,0.44176,0.97671,0.97748,0.94251,0.97486,0.89513,0.35533,0.27392,0.69251,0.000897083,0.000897083,0.000897083
67,4158.75,0.6285,0.4387,0.97788,0.96966,0.94571,0.97519,0.88974,0.35988,0.28504,0.69572,0.0008955,0.0008955,0.0008955
68,4220.22,0.63381,0.43958,0.97829,0.97359,0.94607,0.97652,0.89696,0.36228,0.29033,0.70311,0.000893917,0.000893917,0.000893917
69,4281.66,0.63161,0.4338,0.97876,0.97343,0.94373,0.9756,0.89732,0.35558,0.24703,0.70183,0.000892333,0.000892333,0.000892333
70,4343.57,0.63244,0.43892,0.98125,0.98341,0.93612,0.97635,0.8944,0.34906,0.27375,0.70219,0.00089075,0.00089075,0.00089075
71,4405.8,0.61811,0.43104,0.97465,0.98258,0.95262,0.97828,0.89137,0.35597,0.31976,0.70349,0.000889167,0.000889167,0.000889167
72,4467.59,0.62908,0.43488,0.97858,0.98359,0.94655,0.98005,0.8946,0.35119,0.26382,0.70348,0.000887583,0.000887583,0.000887583
73,4528.73,0.61723,0.42665,0.97306,0.97421,0.9536,0.9793,0.89531,0.3562,0.25924,0.70838,0.000886,0.000886,0.000886
74,4590.04,0.61505,0.42615,0.972,0.97676,0.94867,0.97627,0.89525,0.35103,0.27213,0.70284,0.000884417,0.000884417,0.000884417
75,4651.79,0.6016,0.40985,0.95947,0.98155,0.94539,0.97462,0.89547,0.35144,0.26894,0.69731,0.000882833,0.000882833,0.000882833
76,4713.4,0.61931,0.4244,0.97644,0.97609,0.94768,0.97475,0.89844,0.3526,0.25074,0.69596,0.00088125,0.00088125,0.00088125
77,4775.64,0.61307,0.41721,0.97373,0.97675,0.94571,0.97625,0.89942,0.34404,0.30826,0.69674,0.000879667,0.000879667,0.000879667
78,4837.04,0.60895,0.41745,0.96657,0.97959,0.94774,0.97766,0.89714,0.34272,0.27806,0.69598,0.000878083,0.000878083,0.000878083
79,4898.78,0.61374,0.41909,0.96922,0.9774,0.93936,0.97369,0.89634,0.34013,0.27219,0.68839,0.0008765,0.0008765,0.0008765
80,4960.22,0.61426,0.41606,0.96697,0.98247,0.94031,0.97851,0.89992,0.34383,0.37399,0.69,0.000874917,0.000874917,0.000874917
81,5021.94,0.60191,0.41596,0.96761,0.98131,0.93978,0.97652,0.89779,0.34189,0.39556,0.69151,0.000873333,0.000873333,0.000873333
82,5083.49,0.5941,0.4061,0.96278,0.9826,0.93485,0.9759,0.89496,0.3357,0.31053,0.68732,0.00087175,0.00087175,0.00087175
83,5145.33,0.60789,0.41522,0.96744,0.97149,0.94274,0.9773,0.90058,0.33908,0.39178,0.6918,0.000870167,0.000870167,0.000870167
84,5206.57,0.59398,0.41852,0.96382,0.97651,0.94867,0.9779,0.90421,0.338,0.29107,0.68962,0.000868583,0.000868583,0.000868583
85,5268.22,0.59956,0.40561,0.96716,0.97401,0.94472,0.97405,0.90102,0.3435,0.2714,0.6928,0.000867,0.000867,0.000867
86,5329.42,0.6033,0.40686,0.96402,0.97969,0.94373,0.97461,0.90155,0.33947,0.30855,0.69258,0.000865417,0.000865417,0.000865417
87,5391.03,0.58909,0.39617,0.96387,0.98162,0.94908,0.97679,0.904,0.34009,0.23568,0.68834,0.000863833,0.000863833,0.000863833
88,5453.42,0.59455,0.39974,0.95741,0.98355,0.94423,0.97502,0.90071,0.33483,0.27056,0.68549,0.00086225,0.00086225,0.00086225
89,5514.54,0.59689,0.39523,0.95935,0.98152,0.9439,0.97643,0.90159,0.33705,0.31819,0.68895,0.000860667,0.000860667,0.000860667
90,5575.62,0.59383,0.40088,0.9598,0.98135,0.93978,0.97413,0.9034,0.33791,0.27023,0.68944,0.000859083,0.000859083,0.000859083
91,5637.43,0.59647,0.40387,0.95926,0.97869,0.9388,0.97195,0.89655,0.33533,0.27228,0.68775,0.0008575,0.0008575,0.0008575
92,5698.83,0.57046,0.395,0.94995,0.97743,0.94068,0.97293,0.90097,0.33201,0.25555,0.68898,0.000855917,0.000855917,0.000855917
93,5760.33,0.57964,0.39443,0.95612,0.97851,0.94396,0.97302,0.90378,0.33346,0.27965,0.68908,0.000854333,0.000854333,0.000854333
94,5822.1,0.58183,0.39837,0.95515,0.97757,0.9466,0.97372,0.90327,0.33396,0.24248,0.69008,0.00085275,0.00085275,0.00085275
95,5883.1,0.58656,0.38962,0.95304,0.97762,0.94875,0.97577,0.90647,0.33136,0.21802,0.69011,0.000851167,0.000851167,0.000851167
96,5944.72,0.5737,0.38824,0.9485,0.97918,0.94867,0.97736,0.90389,0.33046,0.23064,0.68864,0.000849583,0.000849583,0.000849583
97,6006.21,0.57979,0.39125,0.9533,0.97761,0.94816,0.97615,0.90424,0.33398,0.23429,0.68967,0.000848,0.000848,0.000848
98,6067.67,0.56799,0.3839,0.94827,0.98545,0.93592,0.97544,0.9071,0.33498,0.28402,0.68751,0.000846417,0.000846417,0.000846417
99,6129.78,0.56965,0.3817,0.94907,0.98136,0.93978,0.97719,0.90783,0.33133,0.33583,0.68583,0.000844833,0.000844833,0.000844833
100,6191.67,0.56882,0.38599,0.95384,0.98178,0.94077,0.97741,0.90621,0.32875,0.35162,0.69009,0.00084325,0.00084325,0.00084325
101,6253.32,0.57358,0.3892,0.95396,0.98305,0.9388,0.97667,0.9078,0.32591,0.24836,0.69014,0.000841667,0.000841667,0.000841667
102,6314.72,0.56361,0.38781,0.94964,0.98229,0.94373,0.97268,0.90129,0.32545,0.25682,0.69267,0.000840083,0.000840083,0.000840083
103,6375.61,0.57003,0.37819,0.94653,0.97709,0.94274,0.97281,0.9002,0.32949,0.30697,0.69128,0.0008385,0.0008385,0.0008385
104,6436.83,0.55975,0.37049,0.94834,0.98148,0.94153,0.97598,0.90099,0.33151,0.31342,0.69139,0.000836917,0.000836917,0.000836917
105,6498.21,0.56743,0.38591,0.94929,0.97174,0.95031,0.97576,0.90508,0.3318,0.22574,0.69133,0.000835333,0.000835333,0.000835333
106,6560.13,0.56139,0.38548,0.95186,0.97587,0.94472,0.97608,0.90433,0.32745,0.23771,0.69062,0.00083375,0.00083375,0.00083375
107,6620.84,0.55353,0.38221,0.94494,0.98273,0.93485,0.97629,0.9069,0.3297,0.29026,0.69318,0.000832167,0.000832167,0.000832167
108,6682.61,0.55819,0.3823,0.94545,0.97652,0.94418,0.97623,0.9084,0.32413,0.25446,0.68712,0.000830583,0.000830583,0.000830583
109,6743.98,0.55756,0.37298,0.94399,0.97639,0.94768,0.97637,0.91049,0.32306,0.26936,0.6865,0.000829,0.000829,0.000829
110,6805.73,0.56465,0.38089,0.948,0.97656,0.94589,0.97762,0.91065,0.32428,0.26318,0.68545,0.000827417,0.000827417,0.000827417
111,6867.36,0.55793,0.38019,0.94477,0.97765,0.94077,0.97762,0.91023,0.31971,0.25272,0.68409,0.000825833,0.000825833,0.000825833
112,6929.39,0.55342,0.37142,0.94672,0.9773,0.94077,0.97784,0.91155,0.31673,0.23107,0.68692,0.00082425,0.00082425,0.00082425
113,6990.29,0.55155,0.37299,0.9456,0.98315,0.93682,0.97838,0.91181,0.31638,0.21567,0.68891,0.000822667,0.000822667,0.000822667
114,7052.5,0.55767,0.37603,0.94393,0.97722,0.94571,0.97827,0.91206,0.31473,0.21739,0.68839,0.000821083,0.000821083,0.000821083
115,7113.8,0.54794,0.36855,0.94169,0.98049,0.9424,0.97719,0.91153,0.31343,0.21891,0.68988,0.0008195,0.0008195,0.0008195
116,7175.51,0.54726,0.36549,0.93995,0.97951,0.94274,0.97731,0.91019,0.3184,0.2395,0.68995,0.000817917,0.000817917,0.000817917
117,7236.81,0.55043,0.37101,0.93649,0.97858,0.94694,0.97848,0.90967,0.3229,0.2404,0.69111,0.000816333,0.000816333,0.000816333
118,7298.7,0.55072,0.36913,0.94032,0.98654,0.94094,0.98054,0.91111,0.32635,0.23544,0.69001,0.00081475,0.00081475,0.00081475
119,7360.01,0.54468,0.3704,0.93866,0.97772,0.94669,0.97827,0.90916,0.32984,0.243,0.6907,0.000813167,0.000813167,0.000813167
120,7422.41,0.54591,0.37199,0.93618,0.97598,0.94768,0.97729,0.90975,0.32893,0.27885,0.69009,0.000811583,0.000811583,0.000811583
121,7483.58,0.53328,0.36026,0.92985,0.97461,0.9474,0.97746,0.91073,0.32841,0.259,0.68964,0.00081,0.00081,0.00081
122,7545.29,0.53755,0.35117,0.93529,0.98273,0.9388,0.97538,0.91147,0.32504,0.25444,0.68787,0.000808417,0.000808417,0.000808417
123,7606.71,0.54568,0.36302,0.93894,0.98146,0.94081,0.9765,0.91171,0.32437,0.25132,0.68839,0.000806833,0.000806833,0.000806833
124,7668.2,0.53842,0.35849,0.93508,0.96794,0.95375,0.97666,0.90994,0.32385,0.26977,0.6883,0.00080525,0.00080525,0.00080525
125,7729.44,0.53402,0.36082,0.93139,0.96891,0.95371,0.9771,0.90957,0.32332,0.28117,0.68671,0.000803667,0.000803667,0.000803667
126,7791.59,0.53204,0.35407,0.93101,0.97652,0.94415,0.97653,0.90944,0.32028,0.26175,0.68456,0.000802083,0.000802083,0.000802083
127,7853.08,0.54249,0.3618,0.93636,0.9775,0.94336,0.97809,0.9098,0.32219,0.27204,0.68632,0.0008005,0.0008005,0.0008005
128,7914.73,0.53308,0.35152,0.93431,0.96893,0.95422,0.97844,0.91183,0.32412,0.26601,0.6863,0.000798917,0.000798917,0.000798917
129,7977.05,0.53667,0.36397,0.93564,0.97219,0.95163,0.97864,0.91129,0.32491,0.26322,0.68877,0.000797333,0.000797333,0.000797333
130,8038.95,0.53799,0.36629,0.93701,0.97376,0.95233,0.97906,0.91258,0.32462,0.2456,0.68752,0.00079575,0.00079575,0.00079575
131,8100.44,0.53781,0.3573,0.93892,0.97474,0.95239,0.97876,0.91197,0.32623,0.24931,0.68734,0.000794167,0.000794167,0.000794167
132,8162.21,0.53356,0.3588,0.93386,0.97767,0.95086,0.97826,0.91217,0.32822,0.24083,0.68881,0.000792583,0.000792583,0.000792583
133,8223.91,0.54024,0.36003,0.93866,0.98095,0.95064,0.97843,0.91235,0.32919,0.24391,0.6895,0.000791,0.000791,0.000791
134,8285.68,0.53277,0.36159,0.93237,0.97534,0.95163,0.97868,0.91257,0.3271,0.24673,0.69077,0.000789417,0.000789417,0.000789417
