epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2813.82,0.89741,0.74639,1.14262,0.9677,0.91698,0.9584,0.85733,0.41302,5.41519,0.74742,0.000870167,0.000870167,0.000870167
43,2875.9,0.89279,0.73061,1.14235,0.96326,0.93189,0.96745,0.85978,0.41292,1.51378,0.75642,0.000867,0.000867,0.000867
44,2946.38,0.89319,0.73665,1.14015,0.96641,0.93189,0.96951,0.86243,0.42397,2.98327,0.75359,0.000863833,0.000863833,0.000863833
45,3015.64,0.88351,0.72184,1.13537,0.95518,0.9388,0.97113,0.86664,0.41903,1.42797,0.75496,0.000860667,0.000860667,0.000860667
46,3077.32,0.89251,0.7254,1.1318,0.96165,0.93189,0.96522,0.8619,0.41712,1.98397,0.75309,0.0008575,0.0008575,0.0008575
47,3138.96,0.87947,0.71692,1.13567,0.9677,0.93781,0.97111,0.86048,0.4191,5.58024,0.75277,0.000854333,0.000854333,0.000854333
48,3209.36,0.88298,0.71763,1.13545,0.97106,0.9388,0.97011,0.86321,0.40387,3.14889,0.75276,0.000851167,0.000851167,0.000851167
49,3280.5,0.88463,0.71703,1.13458,0.96422,0.92201,0.96216,0.86428,0.40979,5.20267,0.74931,0.000848,0.000848,0.000848
50,3354.86,0.87717,0.71157,1.137,0.97586,0.91766,0.9667,0.86514,0.40895,2.39213,0.74855,0.000844833,0.000844833,0.000844833
51,3425.4,0.87751,0.71351,1.12989,0.96165,0.94077,0.97105,0.86912,0.40136,2.17662,0.74645,0.000841667,0.000841667,0.000841667
52,3491.11,0.87261,0.70788,1.12878,0.97063,0.94373,0.97479,0.86899,0.40694,3.43803,0.74839,0.0008385,0.0008385,0.0008385
53,3553.24,0.86739,0.70641,1.12421,0.9738,0.91737,0.9656,0.8612,0.40878,2.43425,0.7477,0.000835333,0.000835333,0.000835333
54,3625.06,0.87317,0.70192,1.1329,0.98105,0.92006,0.96312,0.86572,0.40112,5.36565,0.74947,0.000832167,0.000832167,0.000832167
55,3696.52,0.85277,0.68739,1.11772,0.97093,0.92399,0.96887,0.87348,0.39826,0.7773,0.74201,0.000829,0.000829,0.000829
56,3766.88,0.84803,0.68187,1.1155,0.95716,0.9309,0.96514,0.87079,0.39299,1.19611,0.74552,0.000825833,0.000825833,0.000825833
57,3835.94,0.85513,0.68404,1.11508,0.96945,0.94571,0.96853,0.86809,0.39668,1.36871,0.73904,0.000822667,0.000822667,0.000822667
58,3897.37,0.85775,0.68611,1.12127,0.97202,0.91214,0.96396,0.86742,0.3941,5.48426,0.74097,0.0008195,0.0008195,0.0008195
59,3959.17,0.84756,0.68091,1.10794,0.97318,0.93131,0.96826,0.86855,0.39811,1.66772,0.74232,0.000816333,0.000816333,0.000816333
60,4029.02,0.85105,0.67172,1.11794,0.96797,0.92892,0.96811,0.87364,0.39205,1.79483,0.74382,0.000813167,0.000813167,0.000813167
61,4093.6,0.84482,0.67311,1.11923,0.97086,0.9209,0.96339,0.86713,0.38909,5.57228,0.74464,0.00081,0.00081,0.00081
62,4163.32,0.84251,0.67135,1.10948,0.97315,0.93024,0.96893,0.87418,0.38899,2.47814,0.74113,0.000806833,0.000806833,0.000806833
63,4228.81,0.85025,0.67786,1.11395,0.97627,0.92695,0.96516,0.86835,0.39534,3.22905,0.74327,0.000803667,0.000803667,0.000803667
64,4296.5,0.83886,0.67293,1.11279,0.96839,0.93764,0.96997,0.88067,0.38396,1.29928,0.7402,0.0008005,0.0008005,0.0008005
65,4358.17,0.84193,0.6662,1.10608,0.97314,0.93386,0.9707,0.87951,0.38588,1.38961,0.73847,0.000797333,0.000797333,0.000797333
66,4429.48,0.83777,0.66065,1.10744,0.96856,0.94284,0.97432,0.88412,0.38456,1.46275,0.73943,0.000794167,0.000794167,0.000794167
67,4492.07,0.83341,0.66354,1.09904,0.96322,0.94077,0.96601,0.8766,0.38111,2.33096,0.73964,0.000791,0.000791,0.000791
68,4567.08,0.82721,0.648,1.10555,0.9697,0.93386,0.96923,0.88099,0.37282,2.77724,0.73958,0.000787833,0.000787833,0.000787833
69,4633.9,0.83214,0.65732,1.10553,0.97223,0.93316,0.96814,0.87793,0.38899,2.43446,0.7427,0.000784667,0.000784667,0.000784667
70,4695.11,0.8278,0.65588,1.09992,0.97179,0.93386,0.97024,0.88041,0.37901,1.29479,0.73634,0.0007815,0.0007815,0.0007815
71,4759.52,0.82144,0.64606,1.09893,0.96674,0.94693,0.97206,0.87944,0.37557,1.92384,0.73327,0.000778333,0.000778333,0.000778333
